"(3, 2)",100,1
"(1, 1)",51,2
"(0, 2)",46,2
"(4, 2)",3,2
"(2, 1)",49,3
"(3, 3)",49,3
"(1, 3)",2,3
"(2, 1)",45,4
"(3, 2)",34,4
"(1, 2)",21,4
"(3, 3)",4,5
"(2, 3)",91,5
"(3, 1)",5,5
"(3, 0)",14,6
"(0, 2)",30,6
"(2, 0)",17,6
"(1, 1)",34,6
"(4, 3)",1,6
"(2, 4)",4,6
"(1, 1)",99,7
"(1, 3)",1,7
"(3, 1)",57,8
"(3, 3)",43,8
"(3, 1)",94,9
"(2, 0)",6,9
"(3, 1)",91,10
"(2, 3)",8,10
"(1, 3)",1,10
"(2, 4)",10,11
"(0, 2)",72,11
"(2, 0)",18,11
"(2, 3)",88,12
"(3, 2)",12,12
"(2, 3)",100,13
"(3, 1)",87,14
"(2, 1)",13,14
"(3, 1)",51,15
"(3, 3)",38,15
"(1, 1)",9,15
"(1, 3)",2,15
"(2, 3)",100,16
"(1, 2)",100,17
"(2, 2)",99,18
"(3, 2)",1,18
"(1, 2)",79,19
"(3, 2)",15,19
"(3, 1)",5,19
"(3, 3)",1,19
"(2, 2)",100,20
