"(3, 2)",32,1
"(0, 2)",34,1
"(2, 1)",34,1
"(1, 1)",32,2
"(0, 2)",63,2
"(2, 4)",1,2
"(1, 4)",2,2
"(4, 2)",2,2
"(2, 1)",72,3
"(3, 3)",26,3
"(1, 2)",1,3
"(3, 1)",1,3
"(3, 1)",47,4
"(1, 1)",48,4
"(3, 2)",5,4
"(4, 2)",93,5
"(2, 3)",7,5
"(2, 0)",28,6
"(3, 0)",12,6
"(1, 1)",27,6
"(0, 2)",25,6
"(2, 4)",4,6
"(4, 3)",2,6
"(0, 3)",2,6
"(1, 1)",100,7
"(3, 1)",41,8
"(3, 3)",59,8
"(4, 2)",100,9
"(3, 1)",92,10
"(2, 3)",7,10
"(1, 3)",1,10
"(0, 2)",100,11
"(3, 2)",34,12
"(2, 3)",52,12
"(3, 1)",14,12
"(1, 3)",74,13
"(2, 3)",26,13
"(3, 1)",58,14
"(2, 1)",42,14
"(3, 1)",42,15
"(3, 3)",45,15
"(1, 1)",8,15
"(4, 2)",5,15
"(1, 2)",68,16
"(2, 3)",32,16
"(1, 2)",100,17
"(2, 2)",97,18
"(3, 2)",3,18
"(3, 2)",47,19
"(3, 1)",15,19
"(1, 2)",36,19
"(3, 3)",1,19
"(4, 2)",1,19
"(2, 2)",100,20
